goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
0;4;0;59;51.75;9;52.94;13;38.24;26;1;81.16;68;51.91;1627;20;12;9;19;0;0;0;26;6;0;0;0;0;128;2;603;25;38;39.58;38;45.24;11;35;14;0;11;0;5;0.0;0;2;;0;0;0;6.76;1627;Ronald de la Fuente;Curicó Unido
2;6;0;35;52.24;32;51.61;7;87.5;21;1;74.01;67;51.94;1667;7;16;3;22;0;0;0;25;6;0;0;0;0;106;1;692;8;1;9.09;72;37.89;16;102;14;3;19;4;2;10.53;2;1;0.0;0;0;0;6.75;1667;Nicolás Berardo;Deportes Magallanes
0;1;0;16;66.67;12;70.59;3;100.0;9;0;61.96;28;68.29;291;4;5;0;11;0;0;0;2;2;0;0;0;0;17;0;57;1;2;22.22;9;50.0;7;6;3;0;3;1;1;0.0;0;1;0.0;0;0;0;6.75;291;Nicolás Peñailillo;Unión La Calera
0;10;0;47;58.02;27;57.45;4;57.14;39;0;80.25;74;57.81;1950;4;19;2;25;0;0;0;24;6;0;0;0;0;85;0;711;5;2;33.33;95;49.22;36;70;12;0;5;0;0;0.0;0;3;0.0;0;0;0;6.75;1950;Juan Sills;Deportes Copiapó
1;5;0;50;48.54;68;66.02;6;66.67;29;0;76.22;118;57.28;2453;16;27;7;28;0;0;0;34;1;0;0;0;0;69;0;875;5;0;0.0;96;38.87;41;112;17;1;16;2;5;6.25;0;1;0.0;0;0;0;6.75;2453;Luis Casanova;Universidad de Chile
0;3;1;11;35.48;38;79.17;1;50.0;7;0;81.37;49;62.03;1090;4;15;0;15;0;0;0;14;2;0;0;0;0;22;1;476;4;0;0.0;42;44.21;11;42;5;0;8;2;1;0.0;0;1;0.0;0;0;0;6.75;1090;Guillermo Burdisso;Universidad Católica
0;8;2;40;51.28;21;52.5;5;71.43;27;0;75.31;61;51.69;2044;8;18;4;23;0;0;0;26;5;0;0;0;0;103;0;720;10;0;0.0;165;52.38;20;96;16;1;6;0;0;0.0;0;1;;0;0;0;6.75;2044;Carlos Labrín;Audax Italiano
0;6;3;51;56.67;35;62.5;6;75.0;21;1;72.86;86;58.9;1823;24;25;3;21;0;0;0;18;3;0;0;0;0;71;1;561;4;1;20.0;73;41.48;33;86;9;1;12;3;2;0.0;0;0;;0;0;0;6.75;1823;Maximiliano Falcón;Colo Colo
0;4;1;44;55.7;12;66.67;2;40.0;26;0;76.99;56;57.73;1650;16;18;5;23;0;0;0;29;2;0;0;0;0;139;0;716;15;4;44.44;96;45.28;25;49;9;0;10;4;1;0.0;0;0;;0;0;0;6.75;1650;Nery Domínguez;Universidad de Chile
1;6;1;60;57.14;40;63.49;7;77.78;45;1;75.32;100;59.52;2244;8;25;3;27;0;0;0;33;7;0;0;0;0;60;1;757;8;0;0.0;92;36.65;26;85;16;1;12;4;3;8.33;0;0;0.0;0;0;0;6.74;2244;Diego García;Deportes Copiapó
