goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;6;0;58;52.25;6;30.0;9;60.0;35;2;79.69;64;48.85;1120;14;17;10;23;0;0;0;16;1;0;0;0;0;166;1;506;17;0;0.0;54;62.07;11;12;21;0;18;5;6;5.56;2;0;;0;0;0;6.8;1120;Nelson Sepúlveda;Cobresal
3;4;0;55;43.31;18;54.55;19;55.88;30;0;82.71;73;45.63;1710;6;27;21;28;0;0;0;27;7;0;0;0;0;223;0;842;18;1;16.67;117;66.1;16;20;10;3;38;11;14;7.89;0;1;0.0;0;0;0;6.79;1710;Alfred Canales;Deportes Magallanes
0;0;0;50;60.98;14;53.85;17;62.96;12;0;74.05;64;59.26;684;21;2;13;14;0;0;0;4;1;0;0;0;0;69;0;194;9;5;16.13;9;42.86;4;6;7;0;16;5;5;0.0;2;0;;0;0;0;6.79;684;Benjamín Galdames;Unión Española
0;8;0;94;53.41;39;59.09;16;50.0;34;1;78.47;133;54.96;1860;44;22;32;25;0;0;0;22;3;0;0;0;0;216;1;678;27;1;16.67;72;60.5;9;36;16;2;22;6;6;0.0;0;3;0.0;0;0;0;6.79;1860;Pablo Hernández;O'Higgins
3;7;0;42;46.15;13;81.25;10;66.67;23;1;84.25;55;51.4;926;9;26;3;22;0;0;0;17;2;0;0;0;0;76;1;353;17;0;0.0;46;61.33;12;7;16;0;25;9;2;12.0;0;0;;0;0;0;6.79;926;Cristopher Mesías;Cobresal
2;6;1;85;58.22;9;47.37;15;68.18;42;0;88.43;94;56.97;2123;28;28;16;25;0;0;0;22;3;0;0;0;0;192;0;1039;16;1;50.0;57;74.03;22;19;14;0;16;2;8;12.5;1;1;0.0;0;0;0;6.79;2123;Lorenzo Reyes;Ñublense
1;1;0;21;47.73;7;70.0;7;77.78;11;0;83.23;28;51.85;624;3;5;10;7;0;0;0;9;0;0;0;0;0;85;1;278;4;1;20.0;27;56.25;7;11;6;0;3;1;2;33.33;0;2;;0;0;0;6.79;624;Williams Alarcón;Unión La Calera
3;3;1;97;42.73;8;30.77;33;62.26;40;4;82.96;105;41.5;1598;24;16;76;18;0;0;0;19;2;0;0;0;0;287;2;808;37;4;17.39;33;55.93;10;7;20;1;36;7;10;8.33;1;0;;0;0;0;6.78;1598;Javier Altamirano;Huachipato
5;4;0;84;46.15;13;37.14;11;35.48;42;2;75.04;97;44.7;1880;31;41;19;28;0;0;0;20;6;0;0;0;0;200;2;523;21;3;13.04;37;56.06;13;8;22;5;30;12;6;16.67;0;2;0.0;0;0;0;6.76;1880;Fernando Cornejo;Palestino
0;0;0;13;50.0;4;50.0;6;66.67;5;0;71.23;17;50.0;188;2;3;3;5;0;0;0;2;0;0;0;0;0;17;0;52;3;4;44.44;2;16.67;3;1;4;0;8;1;2;0.0;1;0;;0;0;0;6.76;188;Joan Cruz;Everton de Viña del Mar
3;3;0;49;44.95;3;27.27;16;41.03;21;3;72.78;52;43.33;1487;12;12;9;23;0;0;0;18;2;0;0;0;0;105;4;246;18;13;18.31;8;33.33;12;4;17;1;25;12;3;12.0;0;6;0.0;0;0;0;6.76;1487;Benjamin Chandia;Coquimbo Unido
0;8;0;68;51.91;25;49.02;20;68.97;39;2;75.4;93;51.1;1697;9;22;18;23;0;0;0;28;1;0;0;0;0;121;1;705;13;1;8.33;66;48.18;40;34;15;0;6;0;3;0.0;0;1;0.0;1;0;0;6.76;1697;Pedro Emanuel Ojeda;Universidad de Chile
2;4;0;54;54.55;13;54.17;10;58.82;31;1;75.81;67;54.47;1131;13;20;11;21;0;0;0;18;2;0;0;0;0;84;0;373;12;3;20.0;31;38.75;17;17;8;0;16;2;2;12.5;0;1;0.0;0;0;0;6.75;1131;Marco Collao;Audax Italiano
0;4;1;69;54.33;18;56.25;12;85.71;33;1;78.99;87;54.72;1740;24;31;8;25;0;0;0;26;2;0;0;0;0;151;1;624;15;2;66.67;63;52.07;28;29;18;2;19;1;6;0.0;1;1;0.0;0;0;0;6.75;1740;Camilo Moya;O'Higgins
4;1;0;127;47.21;17;38.64;45;59.21;19;4;76.69;144;46.01;2053;64;19;76;28;0;0;0;26;3;0;0;0;0;209;4;510;36;12;40.0;28;54.9;11;8;17;3;36;10;7;11.11;1;3;0.0;0;0;0;6.75;2053;Luciano Cabral;Coquimbo Unido
0;3;0;44;45.36;13;52.0;0;0.0;25;0;78.57;57;46.72;1173;19;15;8;21;0;0;0;18;4;0;0;0;0;155;1;550;14;10;27.03;88;56.41;17;14;25;0;12;3;2;0.0;0;0;0.0;0;0;0;6.74;1173;Marco Medel;Deportes Copiapó
2;3;0;32;60.38;3;37.5;11;73.33;10;0;80.0;35;57.38;404;11;5;11;16;0;0;0;6;1;0;0;0;0;30;0;64;4;2;16.67;5;83.33;2;3;2;0;7;4;2;28.57;0;0;0.0;0;0;0;6.74;404;Francisco Arancibia;O'Higgins
